Lat,Lon
37.98,-121.81
37.98,-121.77
37.98,-121.73
37.98,-121.69
37.98,-121.37
37.98,-121.33
37.98,-121.29
37.98,-121.25
37.98,-121.21
37.98,-120.37
37.98,-120.33
37.94,-122.53
37.94,-122.49
37.94,-122.41
37.94,-122.37
37.94,-122.33
37.94,-122.09
37.94,-122.05
37.94,-122.01
37.94,-121.97
37.94,-121.93
37.94,-121.73
37.94,-121.69
37.94,-121.33
37.94,-121.29
37.94,-121.25
37.9,-122.53
37.9,-122.49
37.9,-122.29
37.9,-122.21
37.9,-122.17
37.9,-122.13
37.9,-122.09
37.9,-122.05
37.9,-121.73
37.9,-121.61
37.9,-121.25
37.9,-121.17
37.86,-122.49
37.86,-122.29
37.86,-122.25
37.86,-122.21
37.86,-122.17
37.86,-122.13
37.86,-122.09
37.86,-122.05
37.86,-122.01
37.86,-121.97
37.82,-122.37
37.82,-122.33
37.82,-122.29
37.82,-122.25
37.82,-122.21
37.82,-122.01
37.82,-121.97
37.82,-121.93
37.82,-121.89
37.82,-121.73
37.82,-121.45
37.82,-121.29
37.82,-121.25
37.78,-122.49
37.78,-122.45
37.78,-122.41
37.78,-122.29
37.78,-122.25
37.78,-122.21
37.78,-122.17
37.78,-121.97
37.78,-121.93
37.78,-121.53
37.78,-121.25
37.78,-120.81
37.74,-122.49
37.74,-122.45
37.74,-122.41
37.74,-122.37
37.74,-122.25
37.74,-122.21
37.74,-122.17
37.74,-122.13
37.74,-121.93
37.74,-121.81
37.74,-121.77
37.74,-121.45
37.74,-121.41
37.74,-121.37
37.74,-121.13
37.74,-121.01
37.7,-122.49
37.7,-122.45
37.7,-122.41
37.7,-122.17
37.7,-122.13
37.7,-122.09
37.7,-122.05
37.7,-121.93
37.7,-121.89
37.7,-121.85
37.7,-121.81
37.7,-121.77
37.7,-121.73
37.7,-121.45
37.7,-121.41
37.7,-121.09
37.7,-121.05
37.7,-121.01
37.7,-120.97
37.66,-122.49
37.66,-122.45
37.66,-122.41
37.66,-122.13
37.66,-122.09
37.66,-122.05
37.66,-121.89
37.66,-121.85
37.66,-121.81
37.66,-121.77
37.66,-121.05
37.66,-121.01
37.66,-120.97
37.66,-120.93
37.62,-122.49
37.62,-122.45
37.62,-122.41
37.62,-122.37
37.62,-122.09
37.62,-122.05
37.62,-121.01
37.62,-120.97
37.62,-120.93
37.58,-122.49
37.58,-122.41
37.58,-122.37
