Lat,Lon
32.78,-117.21
32.78,-117.17
32.78,-117.13
32.78,-117.09
32.78,-117.05
32.78,-117.01
32.78,-116.97
32.78,-116.93
32.78,-116.89
32.78,-115.57
32.74,-117.25
32.74,-117.21
32.74,-117.17
32.74,-117.13
32.74,-117.09
32.74,-117.05
32.74,-117.01
32.74,-116.97
32.74,-116.89
32.74,-115.97
32.74,-114.61
32.7,-117.25
32.7,-117.21
32.7,-117.13
32.7,-117.09
32.7,-117.05
32.7,-117.01
32.7,-116.85
32.7,-116.33
32.66,-117.09
32.66,-117.05
32.66,-117.01
32.66,-116.97
32.66,-116.81
32.66,-116.21
32.62,-117.13
32.62,-117.09
32.62,-117.05
32.62,-117.01
32.62,-116.97
32.58,-117.13
32.58,-117.09
32.58,-117.05
32.58,-117.01
32.58,-116.93
32.54,-117.09
