Lat,Lon
41.9,-120.61
41.9,-120.57
41.9,-120.53
41.9,-120.49
41.9,-120.45
41.9,-120.41
41.9,-120.37
41.9,-120.33
41.9,-120.29
41.9,-120.25
41.9,-120.21
41.9,-120.17
41.9,-120.13
41.9,-120.09
41.9,-120.05
41.9,-120.01
41.86,-124.21
41.86,-124.17
41.86,-124.13
41.86,-124.09
41.86,-124.05
41.86,-124.01
41.86,-123.97
41.86,-123.93
41.86,-123.89
41.86,-123.85
41.86,-123.81
41.86,-123.77
41.86,-123.73
41.86,-123.69
41.86,-123.65
41.86,-123.61
41.86,-123.57
41.86,-123.53
41.86,-123.49
41.86,-123.45
41.86,-123.41
41.86,-123.37
41.86,-123.33
41.86,-123.29
41.86,-123.25
41.86,-123.21
41.86,-123.17
41.86,-123.13
41.86,-123.09
41.86,-123.05
41.86,-123.01
41.86,-122.97
41.86,-122.93
41.86,-122.89
41.86,-122.85
41.86,-122.81
41.86,-122.77
41.86,-122.73
41.86,-122.69
41.86,-122.65
41.86,-122.61
41.86,-122.57
41.86,-122.53
41.86,-122.49
41.86,-122.45
41.86,-122.41
41.86,-122.37
41.86,-122.33
41.86,-122.29
41.86,-122.25
41.86,-122.21
41.86,-122.17
41.86,-122.13
41.86,-122.09
41.86,-122.05
41.86,-122.01
41.86,-121.97
41.86,-121.93
41.86,-121.89
41.86,-121.85
41.86,-121.81
41.86,-121.77
41.86,-121.73
41.86,-121.69
41.86,-121.65
41.86,-121.61
41.86,-121.57
41.86,-121.53
41.86,-121.49
41.86,-121.45
41.86,-121.41
41.86,-121.37
41.86,-121.33
41.86,-121.29
41.86,-121.25
41.86,-121.21
41.86,-121.17
41.86,-121.13
41.86,-121.09
41.86,-121.05
41.86,-121.01
41.86,-120.97
41.86,-120.93
41.86,-120.89
41.86,-120.85
41.86,-120.81
41.86,-120.77
41.86,-120.73
41.86,-120.69
41.86,-120.65
41.86,-120.61
41.86,-120.57
41.86,-120.53
41.86,-120.49
41.86,-120.45
41.86,-120.41
41.86,-120.37
41.86,-120.33
41.86,-120.29
41.86,-120.25
41.86,-120.21
41.86,-120.17
41.86,-120.13
41.86,-120.09
41.86,-120.05
41.86,-120.01
41.82,-124.25
41.82,-124.21
41.82,-124.17
41.82,-124.13
41.82,-124.09
41.82,-124.05
41.82,-124.01
41.82,-123.97
41.82,-123.93
41.82,-123.89
41.82,-123.85
41.82,-123.81
41.82,-123.77
41.82,-123.73
41.82,-123.69
41.82,-123.65
41.82,-123.61
41.82,-123.57
41.82,-123.53
41.82,-123.49
41.82,-123.45
41.82,-123.41
41.82,-123.37
41.82,-123.33
41.82,-123.29
41.82,-123.25
41.82,-123.21
41.82,-123.17
41.82,-123.13
41.82,-123.09
41.82,-123.05
41.82,-123.01
41.82,-122.97
41.82,-122.93
41.82,-122.89
41.82,-122.85
41.82,-122.81
41.82,-122.77
41.82,-122.73
41.82,-122.69
41.82,-122.65
41.82,-122.61
41.82,-122.57
41.82,-122.53
41.82,-122.49
41.82,-122.45
41.82,-122.41
41.82,-122.37
41.82,-122.33
41.82,-122.29
41.82,-122.25
41.82,-122.21
41.82,-122.17
41.82,-122.13
41.82,-122.09
41.82,-122.05
41.82,-122.01
41.82,-121.97
41.82,-121.93
41.82,-121.89
41.82,-121.85
41.82,-121.81
41.82,-121.77
41.82,-121.73
41.82,-121.69
41.82,-121.65
41.82,-121.61
41.82,-121.57
41.82,-121.53
41.82,-121.49
41.82,-121.45
41.82,-121.41
41.82,-121.37
41.82,-121.33
41.82,-121.29
41.82,-121.25
41.82,-121.21
41.82,-121.17
41.82,-121.13
41.82,-121.09
41.82,-121.05
41.82,-121.01
41.82,-120.97
41.82,-120.93
41.82,-120.89
41.82,-120.85
41.82,-120.81
41.82,-120.77
41.82,-120.73
41.82,-120.69
41.82,-120.65
41.82,-120.61
41.82,-120.57
41.82,-120.53
41.82,-120.49
41.82,-120.45
41.82,-120.41
41.82,-120.37
41.82,-120.33
41.82,-120.29
41.82,-120.25
41.82,-120.21
41.82,-120.17
41.82,-120.13
41.82,-120.09
41.82,-120.05
41.82,-120.01
41.78,-124.25
41.78,-124.21
41.78,-124.17
41.78,-124.13
41.78,-124.09
41.78,-124.05
41.78,-124.01
41.78,-123.97
41.78,-123.93
41.78,-123.89
41.78,-123.85
41.78,-123.81
41.78,-123.77
41.78,-123.73
41.78,-123.69
41.78,-123.65
41.78,-123.61
41.78,-123.57
41.78,-123.53
41.78,-123.49
41.78,-123.45
41.78,-123.41
41.78,-123.37
41.78,-123.33
41.78,-123.29
41.78,-123.25
41.78,-123.21
41.78,-123.17
41.78,-123.13
41.78,-123.09
41.78,-123.05
41.78,-123.01
41.78,-122.97
41.78,-122.93
41.78,-122.89
41.78,-122.85
41.78,-122.81
41.78,-122.77
41.78,-122.73
41.78,-122.69
41.78,-122.65
41.78,-122.61
41.78,-122.57
41.78,-122.53
41.78,-122.49
41.78,-122.45
41.78,-122.41
41.78,-122.37
41.78,-122.33
41.78,-122.29
41.78,-122.25
41.78,-122.21
41.78,-122.17
41.78,-122.13
41.78,-122.09
41.78,-122.05
41.78,-122.01
41.78,-121.97
41.78,-121.93
41.78,-121.89
41.78,-121.85
41.78,-121.81
41.78,-121.77
41.78,-121.73
41.78,-121.69
41.78,-121.65
41.78,-121.61
41.78,-121.57
41.78,-121.53
41.78,-121.49
41.78,-121.45
41.78,-121.41
41.78,-121.37
41.78,-121.33
41.78,-121.29
41.78,-121.25
41.78,-121.21
41.78,-121.17
41.78,-121.13
41.78,-121.09
41.78,-121.05
41.78,-121.01
41.78,-120.97
41.78,-120.93
41.78,-120.89
41.78,-120.85
41.78,-120.81
41.78,-120.77
41.78,-120.73
41.78,-120.69
41.78,-120.65
41.78,-120.61
41.78,-120.57
41.78,-120.53
41.78,-120.49
41.78,-120.45
41.78,-120.41
41.78,-120.37
41.78,-120.33
41.78,-120.29
41.78,-120.25
41.78,-120.21
41.78,-120.17
41.78,-120.13
41.78,-120.09
41.78,-120.05
41.78,-120.01
41.74,-124.21
41.74,-124.17
41.74,-124.13
41.74,-124.09
41.74,-124.05
41.74,-124.01
41.74,-123.97
41.74,-123.93
41.74,-123.89
41.74,-123.85
41.74,-123.81
41.74,-123.77
41.74,-123.73
41.74,-123.69
41.74,-123.65
41.74,-123.61
41.74,-123.57
41.74,-123.53
41.74,-123.49
41.74,-123.45
41.74,-123.41
41.74,-123.37
41.74,-123.33
41.74,-123.29
41.74,-123.25
41.74,-123.21
41.74,-123.17
41.74,-123.13
41.74,-123.09
41.74,-123.05
41.74,-123.01
41.74,-122.97
41.74,-122.93
41.74,-122.89
41.74,-122.85
41.74,-122.81
41.74,-122.77
41.74,-122.73
41.74,-122.69
41.74,-122.65
41.74,-122.61
41.74,-122.57
41.74,-122.53
41.74,-122.49
41.74,-122.45
41.74,-122.41
41.74,-122.37
41.74,-122.33
41.74,-122.29
41.74,-122.25
41.74,-122.21
41.74,-122.17
41.74,-122.13
41.74,-122.09
41.74,-122.05
41.74,-122.01
41.74,-121.97
41.74,-121.93
41.74,-121.89
41.74,-121.85
41.74,-121.81
41.74,-121.77
41.74,-121.73
41.74,-121.69
41.74,-121.65
41.74,-121.61
41.74,-121.57
41.74,-121.53
41.74,-121.49
41.74,-121.45
41.74,-121.41
41.74,-121.37
41.74,-121.33
41.74,-121.29
41.74,-121.25
41.74,-121.21
41.74,-121.17
41.74,-121.13
41.74,-121.09
41.74,-121.05
41.74,-121.01
41.74,-120.97
41.74,-120.93
41.74,-120.89
41.74,-120.85
41.74,-120.81
41.74,-120.77
41.74,-120.73
41.74,-120.69
41.74,-120.65
41.74,-120.61
41.74,-120.57
41.74,-120.53
41.74,-120.49
41.74,-120.45
41.74,-120.41
41.74,-120.37
41.74,-120.33
41.74,-120.29
41.74,-120.25
41.74,-120.21
41.74,-120.17
41.74,-120.13
41.74,-120.09
41.74,-120.05
41.74,-120.01
41.7,-124.13
41.7,-124.09
41.7,-124.05
41.7,-124.01
41.7,-123.97
41.7,-123.93
41.7,-123.89
41.7,-123.85
41.7,-123.81
41.7,-123.77
41.7,-123.73
41.7,-123.69
41.7,-123.65
41.7,-123.61
41.7,-123.57
41.7,-123.53
41.7,-123.49
41.7,-123.45
41.7,-123.41
41.7,-123.37
41.7,-123.33
41.7,-123.29
41.7,-123.25
41.7,-123.21
41.7,-123.17
41.7,-123.13
41.7,-123.09
41.7,-123.05
41.7,-123.01
41.7,-122.97
41.7,-122.93
41.7,-122.89
41.7,-122.85
41.7,-122.81
41.7,-122.77
41.7,-122.73
41.7,-122.69
41.7,-122.65
41.7,-122.61
41.7,-122.57
41.7,-122.53
41.7,-122.49
41.7,-122.45
41.7,-122.41
41.7,-122.37
41.7,-122.33
41.7,-122.29
41.7,-122.25
41.7,-122.21
41.7,-122.17
41.7,-122.13
41.7,-122.09
41.7,-122.05
41.7,-122.01
41.7,-121.97
41.7,-121.93
41.7,-121.89
41.7,-121.85
41.7,-121.81
41.7,-121.77
41.7,-121.73
41.7,-121.69
41.7,-121.65
41.7,-121.61
41.7,-121.57
41.7,-121.53
41.7,-121.49
41.7,-121.45
41.7,-121.41
41.7,-121.37
41.7,-121.33
41.7,-121.29
41.7,-121.25
41.7,-121.21
41.7,-121.17
41.7,-121.13
41.7,-121.09
41.7,-121.05
41.7,-121.01
41.7,-120.97
41.7,-120.93
41.7,-120.89
41.7,-120.85
41.7,-120.81
41.7,-120.77
41.7,-120.73
41.7,-120.69
41.7,-120.65
41.7,-120.61
41.7,-120.57
41.7,-120.53
41.7,-120.49
41.7,-120.45
41.7,-120.41
41.7,-120.37
41.7,-120.33
41.7,-120.29
41.7,-120.25
41.7,-120.21
41.7,-120.17
41.7,-120.13
41.7,-120.09
41.7,-120.05
41.7,-120.01
41.66,-124.13
41.66,-124.09
41.66,-124.05
41.66,-124.01
41.66,-123.97
41.66,-123.93
41.66,-123.89
41.66,-123.85
41.66,-123.81
41.66,-123.77
41.66,-123.73
41.66,-123.69
41.66,-123.65
41.66,-123.61
41.66,-123.57
41.66,-123.53
41.66,-123.49
41.66,-123.45
41.66,-123.41
41.66,-123.37
41.66,-123.33
41.66,-123.29
41.66,-123.25
41.66,-123.21
41.66,-123.17
41.66,-123.13
41.66,-123.09
41.66,-123.05
41.66,-123.01
41.66,-122.97
41.66,-122.93
41.66,-122.89
41.66,-122.85
41.66,-122.81
41.66,-122.77
41.66,-122.73
41.66,-122.69
41.66,-122.65
41.66,-122.61
41.66,-122.57
41.66,-122.53
41.66,-122.49
41.66,-122.45
41.66,-122.41
41.66,-122.37
41.66,-122.33
41.66,-122.29
41.66,-122.25
41.66,-122.21
41.66,-122.17
41.66,-122.13
41.66,-122.09
41.66,-122.05
41.66,-122.01
41.66,-121.97
41.66,-121.93
41.66,-121.89
41.66,-121.85
41.66,-121.81
41.66,-121.77
41.66,-121.73
41.66,-121.69
41.66,-121.65
41.66,-121.61
41.66,-121.57
41.66,-121.53
41.66,-121.49
41.66,-121.45
41.66,-121.41
41.66,-121.37
41.66,-121.33
41.66,-121.29
41.66,-121.25
41.66,-121.21
